
2023/06/12 (22:56:27) | INFO: Logger set to DEBUG
2023/06/12 (22:56:27) | DEBUG: Using locale en_US.utf8
2023/06/12 (22:56:27) | INFO: Running on /dev/pts/2
2023/06/12 (22:56:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/12 (22:57:18) | INFO: Quitting! Runtime: 00:00:51

2023/06/12 (22:57:20) | ===> btop++ v.1.2.13
2023/06/12 (22:57:20) | INFO: Logger set to DEBUG
2023/06/12 (22:57:20) | DEBUG: Using locale en_US.utf8
2023/06/12 (22:57:20) | INFO: Running on /dev/pts/2
2023/06/12 (22:57:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/12 (23:56:37) | INFO: Quitting! Runtime: 00:59:17

2023/06/12 (23:57:58) | ===> btop++ v.1.2.13
2023/06/12 (23:57:58) | INFO: Logger set to DEBUG
